Time;EnemyLength;NoteID;;;;
00:0102:531,645169331;1;D;00:0102:531,645169331;102,531,645169331;;
00:0103:291,138837331;1;W;00:0103:291,138837331;103,291,138837331;;
00:0103:291,138837331;1;A;00:0103:291,138837331;103,291,138837331;;
00:0104:810,126173331;1;D;00:0104:810,126173331;104,810,126173331;;
00:0105:379,746424331;1;W;00:0105:379,746424331;105,379,746424331;;
00:0106:329,113509331;1;A;00:0106:329,113509331;106,329,113509331;;
00:0107:848,100845331;1;S;00:0107:848,100845331;107,848,100845331;;
00:0108:417,721096331;1;A;00:0108:417,721096331;108,417,721096331;;
00:0108:987,341347331;1;S;00:0108:987,341347331;108,987,341347331;;
00:0109:367,088181331;1;W;00:0109:367,088181331;109,367,088181331;;
00:0109:367,088181331;1;D;00:0109:367,088181331;109,367,088181331;;
00:0110:886,07551733;1;A;00:0110:886,07551733;110,886,07551733;;
00:0111:455,695768331;1;S;00:0111:455,695768331;111,455,695768331;;
00:0112:405,06285333;1;W;00:0112:405,06285333;112,405,06285333;;
00:0113:924,05018933;1;S;00:0113:924,05018933;113,924,05018933;;
00:0114:493,67044033;1;A;00:0114:493,67044033;114,493,67044033;;
00:0115:253,16410833;1;W;00:0115:253,16410833;115,253,16410833;;
00:0116:012,65777633;1;D;00:0116:012,65777633;116,012,65777633;;
00:0116:772,15144433;1;A;00:0116:772,15144433;116,772,15144433;;
00:0117:341,77169533;1;A;00:0117:341,77169533;117,341,77169533;;
00:0118:481,01219733;1;A;00:0118:481,01219733;118,481,01219733;;
00:0118:481,01219733;1;S;00:0118:481,01219733;118,481,01219733;;
00:0118:860,75903133;1;S;00:0118:860,75903133;118,860,75903133;;
00:0119:999,99953333;1;D;00:0119:999,99953333;119,999,99953333;;
00:0120:569,61978433;1;W;00:0120:569,61978433;120,569,61978433;;
00:0121:898,73370333;1;A;00:0121:898,73370333;121,898,73370333;;
00:0123:037,97420533;1;D;00:0123:037,97420533;123,037,97420533;;
00:0123:607,59445633;1;W;00:0123:607,59445633;123,607,59445633;;
00:0124:936,70837533;1;A;00:0124:936,70837533;124,936,70837533;;
00:0126:645,569128329;1;A;00:0126:645,569128329;126,645,569128329;;
00:0127:025,315962329;1;S;00:0127:025,315962329;127,025,315962329;;
00:0127:784,809630329;1;A;00:0127:784,809630329;127,784,809630329;;
00:0127:784,809630329;1;W;00:0127:784,809630329;127,784,809630329;;
00:0128:354,429881329;1;D;00:0128:354,429881329;128,354,429881329;;
00:0128:354,429881329;1;W;00:0128:354,429881329;128,354,429881329;;
00:0128:924,050132329;1;A;00:0128:924,050132329;128,924,050132329;;
00:0128:924,050132329;1;D;00:0128:924,050132329;128,924,050132329;;
00:0129:493,670383329;1;A;00:0129:493,670383329;129,493,670383329;;
00:0129:873,417217329;1;D;00:0129:873,417217329;129,873,417217329;;
00:0130:253,164051329;1;A;00:0130:253,164051329;130,253,164051329;;
00:0130:632,910885329;1;D;00:0130:632,910885329;130,632,910885329;;
00:0130:632,910885329;1;A;00:0130:632,910885329;130,632,910885329;;
