Time;EnemyLength;NoteID;
00:78:417,7212103333;1;A;
00:78:607,5946273333;1;W;
00:78:797,4680443333;1;D;
00:80:126,5819633333;1;W;
00:81:075,9490483333;1;A;
00:81:455,6958823333;1;S;
00:82:025,3161333334;1;D;
00:82:405,0629673334;1;A;
00:82:594,9363843334;1;A;
00:83:164,5566353334;1;S;
00:83:544,3034693334;1;A;
00:83:924,0503033334;1;W;
00:84:303,7971373334;1;D;
00:84:683,5439713334;1;W;
00:85:443,0376393334;1;A;
00:85:822,7844733334;1;S;
00:86:582,2781413334;1;D;
00:87:341,7718093334;1;A;
00:87:721,5186433334;1;A;
00:88:101,2654773334;1;S;
00:88:291,1388943334;1;A;
00:88:860,7591453334;1;W;
00:89:050,6325623334;1;D;
00:89:620,2528133334;1;W;
00:89:810,1262303334;1;A;
00:90:379,7464813334;1;S;
00:90:569,6198983334;1;D;
00:91:139,2401493334;1;A;
00:91:518,9869833334;1;A;
00:92:278,4806513334;1;S;
00:94:177,2148213334;1;A;
00:94:556,9616553334;1;W;
00:94:556,9616553334;1;D;
00:94:936,7084893334;1;W;
00:95:316,4553233334;1;A;
00:95:316,4553233334;1;S;
00:96:455,6958253334;1;D;
00:96:645,5692423334;1;A;
00:96:835,4426593334;1;A;
00:97:025,3160763333;1;S;
00:97:025,3160763333;1;A;
00:98:734,1768293333;1;W;
00:99:113,9236633333;1;D;
00:99:493,6704973333;1;W;
00:99:873,4173313333;1;A;
00:100:253,164165333;1;S;
00:101:012,657833333;1;D;
00:101:392,404667333;1;A;
00:101:772,151501333;1;A;
00:101:962,024918333;1;S;
00:102:151,898335333;1;A;
00:102:151,898335333;1;W;
00:102:911,392003333;1;D;
00:104:050,632505333;1;W;
00:104:430,379339333;1;A;
00:104:810,126173333;1;S;
00:105:189,873007333;1;D;
00:105:189,873007333;1;A;
00:105:569,619841333;1;A;
00:106:329,113509333;1;S;
00:107:848,100845333;1;A;
00:108:227,847679333;1;W;
00:108:607,594513333;1;D;
00:108:987,341347333;1;W;
00:109:367,088181333;1;A;
00:109:556,961598333;1;S;
00:109:936,708432333;1;D;
00:110:316,455266333;1;A;
00:110:506,328683333;1;A;
00:110:696,202100333;1;S;
00:111:265,822351333;1;A;
00:111:455,695768333;1;W;
00:111:455,695768333;1;D;
00:111:835,442602333;1;W;
00:112:405,062853333;1;A;
00:112:784,809687333;1;S;
00:113:164,556521333;1;D;
00:113:544,303355333;1;A;
00:115:443,037525333;1;A;
00:115:443,037525333;1;S;
00:115:822,784359333;1;A;
00:115:822,784359333;1;W;
00:116:202,531193333;1;D;
00:116:202,531193333;1;W;
00:116:582,278027333;1;A;
00:116:582,278027333;1;S;
00:119:240,505865333;1;D;
00:119:620,252699333;1;A;
00:119:999,999533333;1;A;
00:120:189,872950333;1;S;
00:120:379,746367333;1;A;
00:120:759,493201333;1;W;
00:121:139,240035333;1;D;
00:121:518,986869333;1;W;
00:121:708,860286333;1;A;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
